crew_id,crew_code,home_office_id,crew_lead_employee_id,crew_status,crew_description
1,CREW-001,1,1,Active,Active field crew 001
2,CREW-002,2,26,Active,Active field crew 002
3,CREW-003,3,51,Active,Active field crew 003
4,CREW-004,4,16,Active,Active field crew 004
5,CREW-005,5,41,Active,Active field crew 005
6,CREW-006,6,6,Active,Active field crew 006
7,CREW-007,7,31,Active,Active field crew 007
8,CREW-008,8,56,Active,Active field crew 008
9,CREW-009,9,21,Active,Active field crew 009
10,CREW-010,10,46,Active,Active field crew 010
11,CREW-011,11,11,Active,Active field crew 011
12,CREW-012,12,36,Active,Active field crew 012
13,CREW-013,1,1,Active,Active field crew 013
14,CREW-014,2,26,Active,Active field crew 014
15,CREW-015,3,51,Active,Active field crew 015
16,CREW-016,4,16,Active,Active field crew 016
17,CREW-017,5,41,Active,Active field crew 017
18,CREW-018,6,6,Active,Active field crew 018
19,CREW-019,7,31,Active,Active field crew 019
20,CREW-020,8,56,Active,Active field crew 020
21,CREW-021,9,21,Active,Active field crew 021
22,CREW-022,10,46,Active,Active field crew 022
23,CREW-023,11,11,Active,Active field crew 023
24,CREW-024,12,36,Active,Active field crew 024
25,CREW-025,1,1,Active,Active field crew 025
26,CREW-026,2,26,Active,Active field crew 026
27,CREW-027,3,51,Active,Active field crew 027
28,CREW-028,4,16,Active,Active field crew 028
29,CREW-029,5,41,Active,Active field crew 029
30,CREW-030,6,6,Active,Active field crew 030
31,CREW-031,7,31,Active,Active field crew 031
32,CREW-032,8,56,Active,Active field crew 032
33,CREW-033,9,21,Active,Active field crew 033
34,CREW-034,10,46,Active,Active field crew 034
35,CREW-035,11,11,Active,Active field crew 035
36,CREW-036,12,36,Active,Active field crew 036
37,CREW-037,1,1,Active,Active field crew 037
38,CREW-038,2,26,Active,Active field crew 038
39,CREW-039,3,51,Active,Active field crew 039
40,CREW-040,4,16,Active,Active field crew 040
