employee_id,employee_number,employee_name,home_office_id,employment_status,termination_date,employee_role_code
1,EMP-0001,Employee 0001,1,Active,,CREW_LEAD
2,EMP-0002,Employee 0002,2,Active,,PROJECT_MANAGER
3,EMP-0003,Employee 0003,3,Active,,FIELD_MANAGER
4,EMP-0004,Employee 0004,4,Active,,TECHNICIAN
5,EMP-0005,Employee 0005,5,Active,,SAFETY_COORDINATOR
6,EMP-0006,Employee 0006,6,Active,,CREW_LEAD
7,EMP-0007,Employee 0007,7,Active,,PROJECT_MANAGER
8,EMP-0008,Employee 0008,8,Active,,FIELD_MANAGER
9,EMP-0009,Employee 0009,9,Active,,TECHNICIAN
10,EMP-0010,Employee 0010,10,Active,,SAFETY_COORDINATOR
11,EMP-0011,Employee 0011,11,Active,,CREW_LEAD
12,EMP-0012,Employee 0012,12,Active,,PROJECT_MANAGER
13,EMP-0013,Employee 0013,1,Active,,FIELD_MANAGER
14,EMP-0014,Employee 0014,2,Active,,TECHNICIAN
15,EMP-0015,Employee 0015,3,Active,,SAFETY_COORDINATOR
16,EMP-0016,Employee 0016,4,Active,,CREW_LEAD
17,EMP-0017,Employee 0017,5,Active,,PROJECT_MANAGER
18,EMP-0018,Employee 0018,6,Active,,FIELD_MANAGER
19,EMP-0019,Employee 0019,7,Active,,TECHNICIAN
20,EMP-0020,Employee 0020,8,Active,,SAFETY_COORDINATOR
21,EMP-0021,Employee 0021,9,Active,,CREW_LEAD
22,EMP-0022,Employee 0022,10,Active,,PROJECT_MANAGER
23,EMP-0023,Employee 0023,11,Active,,FIELD_MANAGER
24,EMP-0024,Employee 0024,12,Active,,TECHNICIAN
25,EMP-0025,Employee 0025,1,Active,,SAFETY_COORDINATOR
26,EMP-0026,Employee 0026,2,Active,,CREW_LEAD
27,EMP-0027,Employee 0027,3,Active,,PROJECT_MANAGER
28,EMP-0028,Employee 0028,4,Active,,FIELD_MANAGER
29,EMP-0029,Employee 0029,5,Active,,TECHNICIAN
30,EMP-0030,Employee 0030,6,Active,,SAFETY_COORDINATOR
31,EMP-0031,Employee 0031,7,Active,,CREW_LEAD
32,EMP-0032,Employee 0032,8,Active,,PROJECT_MANAGER
33,EMP-0033,Employee 0033,9,Active,,FIELD_MANAGER
34,EMP-0034,Employee 0034,10,Active,,TECHNICIAN
35,EMP-0035,Employee 0035,11,Active,,SAFETY_COORDINATOR
36,EMP-0036,Employee 0036,12,Active,,CREW_LEAD
37,EMP-0037,Employee 0037,1,Active,,PROJECT_MANAGER
38,EMP-0038,Employee 0038,2,Active,,FIELD_MANAGER
39,EMP-0039,Employee 0039,3,Active,,TECHNICIAN
40,EMP-0040,Employee 0040,4,Active,,SAFETY_COORDINATOR
41,EMP-0041,Employee 0041,5,Active,,CREW_LEAD
42,EMP-0042,Employee 0042,6,Active,,PROJECT_MANAGER
43,EMP-0043,Employee 0043,7,Active,,FIELD_MANAGER
44,EMP-0044,Employee 0044,8,Active,,TECHNICIAN
45,EMP-0045,Employee 0045,9,Active,,SAFETY_COORDINATOR
46,EMP-0046,Employee 0046,10,Active,,CREW_LEAD
47,EMP-0047,Employee 0047,11,Active,,PROJECT_MANAGER
48,EMP-0048,Employee 0048,12,Active,,FIELD_MANAGER
49,EMP-0049,Employee 0049,1,Active,,TECHNICIAN
50,EMP-0050,Employee 0050,2,Active,,SAFETY_COORDINATOR
51,EMP-0051,Employee 0051,3,Active,,CREW_LEAD
52,EMP-0052,Employee 0052,4,Active,,PROJECT_MANAGER
53,EMP-0053,Employee 0053,5,Active,,FIELD_MANAGER
54,EMP-0054,Employee 0054,6,Active,,TECHNICIAN
55,EMP-0055,Employee 0055,7,Active,,SAFETY_COORDINATOR
56,EMP-0056,Employee 0056,8,Active,,CREW_LEAD
57,EMP-0057,Employee 0057,9,Active,,PROJECT_MANAGER
58,EMP-0058,Employee 0058,10,Active,,FIELD_MANAGER
59,EMP-0059,Employee 0059,11,Active,,TECHNICIAN
60,EMP-0060,Employee 0060,12,Active,,SAFETY_COORDINATOR
61,EMP-0061,Employee 0061,1,Active,,CREW_LEAD
62,EMP-0062,Employee 0062,2,Active,,PROJECT_MANAGER
63,EMP-0063,Employee 0063,3,Active,,FIELD_MANAGER
64,EMP-0064,Employee 0064,4,Active,,TECHNICIAN
65,EMP-0065,Employee 0065,5,Active,,SAFETY_COORDINATOR
66,EMP-0066,Employee 0066,6,Active,,CREW_LEAD
67,EMP-0067,Employee 0067,7,Active,,PROJECT_MANAGER
68,EMP-0068,Employee 0068,8,Active,,FIELD_MANAGER
69,EMP-0069,Employee 0069,9,Active,,TECHNICIAN
70,EMP-0070,Employee 0070,10,Active,,SAFETY_COORDINATOR
71,EMP-0071,Employee 0071,11,Active,,CREW_LEAD
72,EMP-0072,Employee 0072,12,Active,,PROJECT_MANAGER
73,EMP-0073,Employee 0073,1,Active,,FIELD_MANAGER
74,EMP-0074,Employee 0074,2,Active,,TECHNICIAN
75,EMP-0075,Employee 0075,3,Active,,SAFETY_COORDINATOR
76,EMP-0076,Employee 0076,4,Active,,CREW_LEAD
77,EMP-0077,Employee 0077,5,Active,,PROJECT_MANAGER
78,EMP-0078,Employee 0078,6,Active,,FIELD_MANAGER
79,EMP-0079,Employee 0079,7,Active,,TECHNICIAN
80,EMP-0080,Employee 0080,8,Active,,SAFETY_COORDINATOR
81,EMP-0081,Employee 0081,9,Active,,CREW_LEAD
82,EMP-0082,Employee 0082,10,Active,,PROJECT_MANAGER
83,EMP-0083,Employee 0083,11,Active,,FIELD_MANAGER
84,EMP-0084,Employee 0084,12,Active,,TECHNICIAN
85,EMP-0085,Employee 0085,1,Active,,SAFETY_COORDINATOR
86,EMP-0086,Employee 0086,2,Active,,CREW_LEAD
87,EMP-0087,Employee 0087,3,Active,,PROJECT_MANAGER
88,EMP-0088,Employee 0088,4,Active,,FIELD_MANAGER
89,EMP-0089,Employee 0089,5,Active,,TECHNICIAN
90,EMP-0090,Employee 0090,6,Active,,SAFETY_COORDINATOR
91,EMP-0091,Employee 0091,7,Active,,CREW_LEAD
92,EMP-0092,Employee 0092,8,Active,,PROJECT_MANAGER
93,EMP-0093,Employee 0093,9,Active,,FIELD_MANAGER
94,EMP-0094,Employee 0094,10,Active,,TECHNICIAN
95,EMP-0095,Employee 0095,11,Active,,SAFETY_COORDINATOR
96,EMP-0096,Employee 0096,12,Active,,CREW_LEAD
97,EMP-0097,Employee 0097,1,Active,,PROJECT_MANAGER
98,EMP-0098,Employee 0098,2,Active,,FIELD_MANAGER
99,EMP-0099,Employee 0099,3,Active,,TECHNICIAN
100,EMP-0100,Employee 0100,4,Active,,SAFETY_COORDINATOR
101,EMP-0101,Employee 0101,5,Active,,CREW_LEAD
102,EMP-0102,Employee 0102,6,Active,,PROJECT_MANAGER
103,EMP-0103,Employee 0103,7,Active,,FIELD_MANAGER
104,EMP-0104,Employee 0104,8,Active,,TECHNICIAN
105,EMP-0105,Employee 0105,9,Active,,SAFETY_COORDINATOR
106,EMP-0106,Employee 0106,10,Active,,CREW_LEAD
107,EMP-0107,Employee 0107,11,Active,,PROJECT_MANAGER
108,EMP-0108,Employee 0108,12,Active,,FIELD_MANAGER
109,EMP-0109,Employee 0109,1,Active,,TECHNICIAN
110,EMP-0110,Employee 0110,2,Active,,SAFETY_COORDINATOR
111,EMP-0111,Employee 0111,3,Active,,CREW_LEAD
112,EMP-0112,Employee 0112,4,Active,,PROJECT_MANAGER
113,EMP-0113,Employee 0113,5,Active,,FIELD_MANAGER
114,EMP-0114,Employee 0114,6,Active,,TECHNICIAN
115,EMP-0115,Employee 0115,7,Active,,SAFETY_COORDINATOR
116,EMP-0116,Employee 0116,8,Active,,CREW_LEAD
117,EMP-0117,Employee 0117,9,Active,,PROJECT_MANAGER
118,EMP-0118,Employee 0118,10,Active,,FIELD_MANAGER
119,EMP-0119,Employee 0119,11,Active,,TECHNICIAN
120,EMP-0120,Employee 0120,12,Active,,SAFETY_COORDINATOR
121,EMP-0121,Employee 0121,1,Active,,CREW_LEAD
122,EMP-0122,Employee 0122,2,Active,,PROJECT_MANAGER
123,EMP-0123,Employee 0123,3,Active,,FIELD_MANAGER
124,EMP-0124,Employee 0124,4,Active,,TECHNICIAN
125,EMP-0125,Employee 0125,5,Active,,SAFETY_COORDINATOR
126,EMP-0126,Employee 0126,6,Active,,CREW_LEAD
127,EMP-0127,Employee 0127,7,Active,,PROJECT_MANAGER
128,EMP-0128,Employee 0128,8,Active,,FIELD_MANAGER
129,EMP-0129,Employee 0129,9,Active,,TECHNICIAN
130,EMP-0130,Employee 0130,10,Active,,SAFETY_COORDINATOR
131,EMP-0131,Employee 0131,11,Active,,CREW_LEAD
132,EMP-0132,Employee 0132,12,Active,,PROJECT_MANAGER
