assignment_id,equipment_id,job_site_id,project_id,assignment_start_timestamp,assignment_end_timestamp,assignment_note,scenario_id
1,1,64,64,2026-02-07T06:00:00,2026-02-07T16:00:00,High-risk relocation review,equipment_relocation
2,2,68,68,2026-02-02T06:00:00,2026-02-02T16:00:00,Planned assignment,normal_operations
3,3,8,8,2026-02-03T06:00:00,2026-02-03T16:00:00,Planned assignment,normal_operations
4,4,87,12,2026-02-04T06:00:00,2026-02-04T16:00:00,Planned assignment,normal_operations
5,5,40,40,2026-02-05T06:00:00,2026-02-05T16:00:00,Planned assignment,normal_operations
6,6,98,23,2026-02-06T06:00:00,2026-02-06T16:00:00,Planned assignment,normal_operations
7,7,113,38,2026-02-07T06:00:00,2026-02-07T16:00:00,Planned assignment,normal_operations
8,8,14,14,2026-02-08T06:00:00,2026-02-08T16:00:00,Planned assignment,normal_operations
9,9,120,45,2026-02-09T06:00:00,2026-02-09T16:00:00,Planned assignment,normal_operations
10,10,60,60,2026-02-10T06:00:00,2026-02-10T16:00:00,Planned assignment,normal_operations
11,11,2,2,2026-02-11T06:00:00,2026-02-11T16:00:00,Planned assignment,normal_operations
12,12,50,50,2026-02-12T06:00:00,2026-02-12T16:00:00,Planned assignment,normal_operations
13,13,51,51,2026-02-13T06:00:00,2026-02-13T16:00:00,Planned assignment,normal_operations
14,14,18,18,2026-02-14T06:00:00,2026-02-14T16:00:00,Planned assignment,normal_operations
15,15,1,1,2026-02-15T06:00:00,2026-02-15T16:00:00,Planned assignment,normal_operations
16,16,90,15,2026-02-16T06:00:00,2026-02-16T16:00:00,Planned assignment,normal_operations
17,17,27,27,2026-02-17T06:00:00,2026-02-17T16:00:00,Planned assignment,normal_operations
18,18,93,18,2026-02-18T06:00:00,2026-02-18T16:00:00,Planned assignment,normal_operations
19,19,112,37,2026-02-19T06:00:00,2026-02-19T16:00:00,Planned assignment,normal_operations
20,20,74,74,2026-02-20T06:00:00,2026-02-20T16:00:00,Planned assignment,normal_operations
21,21,3,3,2026-02-21T06:00:00,2026-02-21T16:00:00,Planned assignment,normal_operations
22,22,66,66,2026-02-22T06:00:00,2026-02-22T16:00:00,Planned assignment,normal_operations
23,23,48,48,2026-02-23T06:00:00,2026-02-23T16:00:00,Planned assignment,normal_operations
24,24,77,2,2026-02-24T06:00:00,2026-02-24T16:00:00,Planned assignment,normal_operations
25,25,94,19,2026-02-25T06:00:00,2026-02-25T16:00:00,Planned assignment,normal_operations
26,26,91,16,2026-02-26T06:00:00,2026-02-26T16:00:00,Planned assignment,normal_operations
27,27,44,44,2026-02-27T06:00:00,2026-02-27T16:00:00,Planned assignment,normal_operations
28,28,115,40,2026-02-28T06:00:00,2026-02-28T16:00:00,Planned assignment,normal_operations
29,29,110,35,2026-03-01T06:00:00,2026-03-01T16:00:00,Planned assignment,normal_operations
30,30,82,7,2026-03-02T06:00:00,2026-03-02T16:00:00,Planned assignment,normal_operations
31,31,97,22,2026-03-03T06:00:00,2026-03-03T16:00:00,Planned assignment,normal_operations
32,32,37,37,2026-03-04T06:00:00,2026-03-04T16:00:00,Planned assignment,normal_operations
33,33,5,5,2026-03-05T06:00:00,2026-03-05T16:00:00,Planned assignment,normal_operations
34,34,111,36,2026-03-06T06:00:00,2026-03-06T16:00:00,Planned assignment,normal_operations
35,35,85,10,2026-03-07T06:00:00,2026-03-07T16:00:00,Planned assignment,normal_operations
36,36,43,43,2026-03-08T06:00:00,2026-03-08T16:00:00,Planned assignment,normal_operations
37,37,42,42,2026-03-09T06:00:00,2026-03-09T16:00:00,Planned assignment,normal_operations
38,38,23,23,2026-03-10T06:00:00,2026-03-10T16:00:00,Planned assignment,normal_operations
39,39,116,41,2026-03-11T06:00:00,2026-03-11T16:00:00,Planned assignment,normal_operations
40,40,117,42,2026-03-12T06:00:00,2026-03-12T16:00:00,Planned assignment,normal_operations
41,41,45,45,2026-03-13T06:00:00,2026-03-13T16:00:00,Planned assignment,normal_operations
42,42,9,9,2026-03-14T06:00:00,2026-03-14T16:00:00,Planned assignment,normal_operations
43,43,89,14,2026-03-15T06:00:00,2026-03-15T16:00:00,Planned assignment,normal_operations
44,44,36,36,2026-03-16T06:00:00,2026-03-16T16:00:00,Planned assignment,normal_operations
45,45,107,32,2026-03-17T06:00:00,2026-03-17T16:00:00,Planned assignment,normal_operations
46,46,118,43,2026-03-18T06:00:00,2026-03-18T16:00:00,Planned assignment,normal_operations
47,47,95,20,2026-03-19T06:00:00,2026-03-19T16:00:00,Planned assignment,normal_operations
48,48,61,61,2026-03-20T06:00:00,2026-03-20T16:00:00,Planned assignment,normal_operations
49,49,92,17,2026-03-21T06:00:00,2026-03-21T16:00:00,Planned assignment,normal_operations
50,50,30,30,2026-03-22T06:00:00,2026-03-22T16:00:00,Planned assignment,normal_operations
51,51,19,19,2026-03-23T06:00:00,2026-03-23T16:00:00,Planned assignment,normal_operations
52,52,78,3,2026-03-24T06:00:00,2026-03-24T16:00:00,Planned assignment,normal_operations
53,53,76,1,2026-03-25T06:00:00,2026-03-25T16:00:00,Planned assignment,normal_operations
54,54,46,46,2026-03-26T06:00:00,2026-03-26T16:00:00,Planned assignment,normal_operations
55,55,7,7,2026-03-27T06:00:00,2026-03-27T16:00:00,Planned assignment,normal_operations
56,56,32,32,2026-03-28T06:00:00,2026-03-28T16:00:00,Planned assignment,normal_operations
57,57,26,26,2026-03-29T06:00:00,2026-03-29T16:00:00,Planned assignment,normal_operations
58,58,4,4,2026-03-30T06:00:00,2026-03-30T16:00:00,Planned assignment,normal_operations
59,59,29,29,2026-03-31T06:00:00,2026-03-31T16:00:00,Planned assignment,normal_operations
60,60,55,55,2026-04-01T06:00:00,2026-04-01T16:00:00,Planned assignment,normal_operations
61,61,102,27,2026-04-02T06:00:00,2026-04-02T16:00:00,Planned assignment,normal_operations
62,62,28,28,2026-04-03T06:00:00,2026-04-03T16:00:00,Planned assignment,normal_operations
63,63,86,11,2026-04-04T06:00:00,2026-04-04T16:00:00,Planned assignment,normal_operations
64,64,105,30,2026-04-05T06:00:00,2026-04-05T16:00:00,Planned assignment,normal_operations
65,65,58,58,2026-04-06T06:00:00,2026-04-06T16:00:00,Planned assignment,normal_operations
66,66,62,62,2026-04-07T06:00:00,2026-04-07T16:00:00,Planned assignment,normal_operations
67,67,35,35,2026-04-08T06:00:00,2026-04-08T16:00:00,Planned assignment,normal_operations
68,68,38,38,2026-04-09T06:00:00,2026-04-09T16:00:00,Planned assignment,normal_operations
69,69,12,12,2026-04-10T06:00:00,2026-04-10T16:00:00,Planned assignment,normal_operations
70,70,63,63,2026-04-11T06:00:00,2026-04-11T16:00:00,Planned assignment,normal_operations
71,71,104,29,2026-04-12T06:00:00,2026-04-12T16:00:00,Planned assignment,normal_operations
72,72,47,47,2026-04-13T06:00:00,2026-04-13T16:00:00,Planned assignment,normal_operations
73,73,17,17,2026-04-14T06:00:00,2026-04-14T16:00:00,Planned assignment,normal_operations
74,74,13,13,2026-04-15T06:00:00,2026-04-15T16:00:00,Planned assignment,normal_operations
75,75,53,53,2026-04-16T06:00:00,2026-04-16T16:00:00,Planned assignment,normal_operations
76,76,49,49,2026-04-17T06:00:00,2026-04-17T16:00:00,Planned assignment,normal_operations
77,77,22,22,2026-04-18T06:00:00,2026-04-18T16:00:00,Planned assignment,normal_operations
78,78,54,54,2026-04-19T06:00:00,2026-04-19T16:00:00,Planned assignment,normal_operations
79,79,75,75,2026-04-20T06:00:00,2026-04-20T16:00:00,Planned assignment,normal_operations
80,80,34,34,2026-04-21T06:00:00,2026-04-21T16:00:00,Planned assignment,normal_operations
81,1,104,29,2026-02-07T16:00:00,2026-02-08T02:00:00,Planned assignment,normal_operations
82,2,108,33,2026-02-02T11:00:00,2026-02-02T21:00:00,Planned assignment,normal_operations
83,3,85,10,2026-06-13T06:00:00,2026-06-13T16:00:00,Planned assignment,normal_operations
84,4,115,40,2026-06-13T06:00:00,2026-06-13T16:00:00,Planned assignment,normal_operations
85,5,107,32,2026-07-12T06:00:00,2026-07-12T16:00:00,Planned assignment,normal_operations
86,6,41,41,2026-07-11T06:00:00,2026-07-11T16:00:00,Planned assignment,normal_operations
87,7,6,6,2026-07-07T06:00:00,2026-07-07T16:00:00,Planned assignment,normal_operations
88,8,87,12,2026-06-14T06:00:00,2026-06-14T16:00:00,Planned assignment,normal_operations
89,9,29,29,2026-06-21T06:00:00,2026-06-21T16:00:00,Planned assignment,normal_operations
90,10,12,12,2026-06-28T06:00:00,2026-06-28T16:00:00,Planned assignment,normal_operations
91,11,32,32,2026-06-17T06:00:00,2026-06-17T16:00:00,Planned assignment,normal_operations
92,12,112,37,2026-07-13T06:00:00,2026-07-13T16:00:00,Planned assignment,normal_operations
