project_id,project_code,project_name,office_id,project_manager_employee_id,field_manager_employee_id,status,project_start_date,project_end_date,priority_code,project_description,parent_project_code
1,PRJ-001,Field Project 001,1,13,25,Active,2026-01-04,2026-06-03,High,Synthetic operational project 001,
2,PRJ-002,Field Project 002,2,14,26,Active,2026-01-07,2026-06-06,Medium,Synthetic operational project 002,
3,PRJ-003,Field Project 003,3,15,27,Active,2026-01-10,2026-06-09,Low,Synthetic operational project 003,
4,PRJ-004,Field Project 004,4,16,28,Active,2026-01-13,2026-06-12,High,Synthetic operational project 004,
5,PRJ-005,Field Project 005,5,17,29,Active,2026-01-16,2026-06-15,Medium,Synthetic operational project 005,
6,PRJ-006,Field Project 006,6,18,30,Active,2026-01-19,2026-06-18,Low,Synthetic operational project 006,
7,PRJ-007,Field Project 007,7,19,31,Active,2026-01-22,2026-06-21,High,Synthetic operational project 007,
8,PRJ-008,Field Project 008,8,20,32,Planned,2026-01-25,2026-06-24,Medium,Synthetic operational project 008,
9,PRJ-009,Field Project 009,9,21,33,Active,2026-01-28,2026-06-27,Low,Synthetic operational project 009,
10,PRJ-010,Field Project 010,10,22,34,Active,2026-01-31,2026-06-30,High,Synthetic operational project 010,
11,PRJ-011,Field Project 011,11,23,35,Active,2026-02-03,2026-07-03,Medium,Synthetic operational project 011,
12,PRJ-012,Field Project 012,12,24,36,Active,2026-02-06,2026-07-06,Low,Synthetic operational project 012,
13,PRJ-013,Field Project 013,1,13,25,Active,2026-02-09,2026-07-09,High,Synthetic operational project 013,
14,PRJ-014,Field Project 014,2,14,26,Active,2026-02-12,2026-07-12,Medium,Synthetic operational project 014,
15,PRJ-015,Field Project 015,3,15,27,Active,2026-02-15,2026-07-15,Low,Synthetic operational project 015,
16,PRJ-016,Field Project 016,4,16,28,Planned,2026-02-18,2026-07-18,High,Synthetic operational project 016,
17,PRJ-017,Field Project 017,5,17,29,Active,2026-02-21,2026-07-21,Medium,Synthetic operational project 017,
18,PRJ-018,Field Project 018,6,18,30,Active,2026-02-24,2026-07-24,Low,Synthetic operational project 018,
19,PRJ-019,Field Project 019,7,19,31,Active,2026-02-27,2026-07-27,High,Synthetic operational project 019,
20,PRJ-020,Field Project 020,8,20,32,Active,2026-03-02,2026-07-30,Medium,Synthetic operational project 020,
21,PRJ-021,Field Project 021,9,21,33,Active,2026-03-05,2026-08-02,Low,Synthetic operational project 021,
22,PRJ-022,Field Project 022,10,22,34,Active,2026-03-08,2026-08-05,High,Synthetic operational project 022,
23,PRJ-023,Field Project 023,11,23,35,Active,2026-03-11,2026-08-08,Medium,Synthetic operational project 023,
24,PRJ-024,Field Project 024,12,24,36,Planned,2026-03-14,2026-08-11,Low,Synthetic operational project 024,
25,PRJ-025,Field Project 025,1,13,25,Active,2026-03-17,2026-08-14,High,Synthetic operational project 025,
26,PRJ-026,Field Project 026,2,14,26,Active,2026-03-20,2026-08-17,Medium,Synthetic operational project 026,
27,PRJ-027,Field Project 027,3,15,27,Active,2026-03-23,2026-08-20,Low,Synthetic operational project 027,
28,PRJ-028,Field Project 028,4,16,28,Active,2026-03-26,2026-08-23,High,Synthetic operational project 028,
29,PRJ-029,Field Project 029,5,17,29,Active,2026-03-29,2026-08-26,Medium,Synthetic operational project 029,
30,PRJ-030,Field Project 030,6,18,30,Active,2026-04-01,2026-08-29,Low,Synthetic operational project 030,
31,PRJ-031,Field Project 031,7,19,31,Active,2026-04-04,2026-09-01,High,Synthetic operational project 031,
32,PRJ-032,Field Project 032,8,20,32,Planned,2026-04-07,2026-09-04,Medium,Synthetic operational project 032,
33,PRJ-033,Field Project 033,9,21,33,Active,2026-04-10,2026-09-07,Low,Synthetic operational project 033,
