threshold_id,activity_id,equipment_type_id,metric_code,comparison_operator,unit,threshold_value_or_code_set,threshold_value,weather_code_set,severity,recommended_action_code,effective_start_date,effective_end_date,is_active,override_flag
1,1,1,WIND_GUST_MPH,>=,mph,35,35,,HIGH,DELAY_WORK,2026-01-01,,True,False
2,2,2,HEAT_INDEX_F,>=,F,105,105,,HIGH,HEAT_PROTOCOL,2026-01-01,,True,False
3,3,3,PRECIPITATION_IN,>=,inch,0.50,0.50,,HIGH,SHELTER_EQUIPMENT,2026-01-01,,True,False
4,4,4,WEATHER_CODE,IN,wmo_code,95|96|99,,95|96|99,CRITICAL,SHUTDOWN,2026-01-01,,True,True
5,5,5,WIND_GUST_MPH,>=,mph,35,35,,HIGH,DELAY_WORK,2026-01-01,,True,False
6,6,6,HEAT_INDEX_F,>=,F,105,105,,HIGH,HEAT_PROTOCOL,2026-01-01,,True,False
7,7,7,PRECIPITATION_IN,>=,inch,0.50,0.50,,HIGH,SHELTER_EQUIPMENT,2026-01-01,,True,False
8,8,8,WEATHER_CODE,IN,wmo_code,95|96|99,,95|96|99,CRITICAL,SHUTDOWN,2026-01-01,,True,True
9,9,9,WIND_GUST_MPH,>=,mph,35,35,,HIGH,DELAY_WORK,2026-01-01,,True,False
10,10,10,HEAT_INDEX_F,>=,F,105,105,,HIGH,HEAT_PROTOCOL,2026-01-01,,True,False
11,11,1,PRECIPITATION_IN,>=,inch,0.50,0.50,,HIGH,SHELTER_EQUIPMENT,2026-01-01,,True,False
12,12,2,WEATHER_CODE,IN,wmo_code,95|96|99,,95|96|99,CRITICAL,SHUTDOWN,2026-01-01,,True,True
13,13,3,WIND_GUST_MPH,>=,mph,35,35,,HIGH,DELAY_WORK,2026-01-01,,True,False
14,14,4,HEAT_INDEX_F,>=,F,105,105,,HIGH,HEAT_PROTOCOL,2026-01-01,,True,False
15,15,5,PRECIPITATION_IN,>=,inch,0.50,0.50,,HIGH,SHELTER_EQUIPMENT,2026-01-01,,True,False
16,16,6,WEATHER_CODE,IN,wmo_code,95|96|99,,95|96|99,CRITICAL,SHUTDOWN,2026-01-01,,True,True
17,17,7,WIND_GUST_MPH,>=,mph,35,35,,HIGH,DELAY_WORK,2026-01-01,,True,False
18,18,8,HEAT_INDEX_F,>=,F,105,105,,HIGH,HEAT_PROTOCOL,2026-01-01,,True,False
19,19,9,PRECIPITATION_IN,>=,inch,0.50,0.50,,HIGH,SHELTER_EQUIPMENT,2026-01-01,,True,False
20,20,10,WEATHER_CODE,IN,wmo_code,95|96|99,,95|96|99,CRITICAL,SHUTDOWN,2026-01-01,,True,True
21,1,,WIND_GUST_MPH,>=,mph,35,35,,HIGH,DELAY_WORK,2026-01-01,,True,False
22,2,,HEAT_INDEX_F,>=,F,105,105,,HIGH,HEAT_PROTOCOL,2026-01-01,,True,False
23,3,,PRECIPITATION_IN,>=,inch,0.50,0.50,,HIGH,SHELTER_EQUIPMENT,2026-01-01,,True,False
24,4,,WEATHER_CODE,IN,wmo_code,95|96|99,,95|96|99,CRITICAL,SHUTDOWN,2026-01-01,,True,True
25,5,,WIND_GUST_MPH,>=,mph,35,35,,HIGH,DELAY_WORK,2026-01-01,,True,False
26,6,,HEAT_INDEX_F,>=,F,105,105,,HIGH,HEAT_PROTOCOL,2026-01-01,,True,False
27,7,,PRECIPITATION_IN,>=,inch,0.50,0.50,,HIGH,SHELTER_EQUIPMENT,2026-01-01,,True,False
28,8,,WEATHER_CODE,IN,wmo_code,95|96|99,,95|96|99,CRITICAL,SHUTDOWN,2026-01-01,,True,True
29,9,,WIND_GUST_MPH,>=,mph,35,35,,HIGH,DELAY_WORK,2026-01-01,,True,False
30,10,,HEAT_INDEX_F,>=,F,105,105,,HIGH,HEAT_PROTOCOL,2026-01-01,,True,False
31,11,,PRECIPITATION_IN,>=,inch,0.50,0.50,,HIGH,SHELTER_EQUIPMENT,2026-01-01,,True,False
32,12,,WEATHER_CODE,IN,wmo_code,95|96|99,,95|96|99,CRITICAL,SHUTDOWN,2026-01-01,,True,True
33,13,,WIND_GUST_MPH,>=,mph,35,35,,HIGH,DELAY_WORK,2026-01-01,,True,False
34,14,,HEAT_INDEX_F,>=,F,105,105,,HIGH,HEAT_PROTOCOL,2026-01-01,,True,False
35,15,,PRECIPITATION_IN,>=,inch,0.50,0.50,,HIGH,SHELTER_EQUIPMENT,2026-01-01,,True,False
36,16,,WEATHER_CODE,IN,wmo_code,95|96|99,,95|96|99,CRITICAL,SHUTDOWN,2026-01-01,,True,True
37,17,,WIND_GUST_MPH,>=,mph,35,35,,HIGH,DELAY_WORK,2026-01-01,,True,False
38,18,,HEAT_INDEX_F,>=,F,105,105,,HIGH,HEAT_PROTOCOL,2026-01-01,,True,False
39,19,,PRECIPITATION_IN,>=,inch,0.50,0.50,,HIGH,SHELTER_EQUIPMENT,2026-01-01,,True,False
40,20,,WEATHER_CODE,IN,wmo_code,95|96|99,,95|96|99,CRITICAL,SHUTDOWN,2026-01-01,,True,True
